,id,name,followers,genre,popularity
118,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,7179993,big room,83
119,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10555843,album rock,81
120,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,46401562,k-pop,83
121,06Q5VlSAku57lFzyME3HrM,Ke Personajes,2799839,cumbia pop,80
122,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9712248,electro,80
123,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,38328089,puerto rican pop,86
124,1r43wW70tnGUauQYvY5w48,BENNETT,46916,NA,68
125,5WUlDfRSoLAfcVSX1WnrxN,Sia,27213023,australian dance,82
126,5r3wPya2PpeTTsXsGhQU8O,Shubh,2121589,punjabi hip hop,77
127,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,20799590,pop rap,85
128,2wY79sveU1sp5g7SokKOiI,Sam Smith,23318809,pop,83
129,35oGZihZclGoTVuICPXRP9,Jere Klein,655990,reggaeton chileno,75
130,2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,18016649,filmi,74
131,6mEQK9m2krja6X1cfsAjfl,Ado,3182826,j-pop,74
132,0GgY7hjMoGDsX8ZDe2mwds,Soolking,4874891,french hip hop,72
133,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,25741032,conscious hip hop,87
134,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94735657,pop,87
135,5VKufGMVAZ6fs111xYNKnU,MACAN,606862,russian gangster rap,59
136,0a8YNI8VHVPYKIPvCiJDxa,Mohbad,560903,afrobeats,66
137,27LlKWxS3KXW7RRAxN5S8s,Geolier,1527436,italian hip hop,75
138,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,21615582,pop,81
139,3zaDigUwjHvjOkSn0NDf9x,Bnxn,1123720,afrobeats,69
140,0LKAV3zJ8a8AIGnyc5OvfB,SDM,634790,french hip hop,70
141,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,9880024,reggaeton,79
142,4Gso3d4CscCijv0lmajZWs,Don Toliver,3336655,pop rap,81
143,1KCSPY1glIKqW2TotWuXOR,P!nk,16035012,dance pop,80
144,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,24711406,alternative metal,84
145,3LvwPiJQJ0da0GurKMToV0,Baby Gang,1183429,trap italiana,73
146,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,16443775,piano rock,82
147,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,38131973,reggaeton,85
148,76Pl0epAMXVXJspaSuz8im,Freeze corleone,902607,drill francais,73
149,23TFHmajVfBtlRx5MXqgoz,Sfera Ebbasta,5760599,italian hip hop,78
150,4SsVbpTthjScTS7U2hmr1X,Arcángel,12345163,latin hip hop,82
151,6FBDaR13swtiWwGhX1WQsP,blink-182,7883452,alternative metal,79
152,6CP5wWvO8oIxedESJNCN4H,Ski Aggu,228202,german hip hop,72
153,7CJgLPEqiIRuneZSolpawQ,Taco Hemingway,1418006,polish hip hop,75
154,6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,6571927,desi hip hop,78
155,51TXQniEQkYh89tfLjiuSy,Ant Wan,199316,swedish drill,65
156,4IWBUUAFIplrNtaOHcJPRM,James Arthur,13941906,pop,81
157,7f4ignuCJhLXfZ9giKT7rH,NCT 127,7225220,k-pop,72
158,6KOszWgIriJLaPOySuBOTI,SUICIDAL-IDOL,51165,scenecore,70
159,4wAqlYtTaaHELEgyCh9KjG,Fave,493487,afrobeats,60
160,1iwTLEeVSDXJxCY9pg0UZz,Bmike,157175,australian underground hip hop,46
161,72A0Z8q8NiochyK9gUHpCR,The Kolors,369889,italian adult pop,64
162,33qOK5uJ8AR2xuQQAhHump,Teddy Swims,897908,NA,70
163,1D1twK512TGf3AzN2ez2ED,Miyagi,62,NA,44
164,6wxfx1yhyqjCPYwwxJktR2,King Gnu,2970227,j-pop,72
165,4az97MtWmBQ5Db3GfDh9j9,Morad,2146491,drill espanol,77
166,12zbUHbPHL5DGuJtiUfsip,Julien Baker,417417,ambient folk,69
167,1oSPZhvZMIrWW5I41kPkkY,Jimin,6723396,k-pop,82
168,2CKOmarVWvWqkNWUatHCex,Ana Castela,3196925,agronejo,82
169,3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,293608,afro drill,64
170,7dvG18F378r7HRxmiHn3ti,Valiant,120496,dancehall,54
171,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,9000736,atl hip hop,84
172,6tbjWDEIzxoDsBA1FuhfPW,Madonna,7306705,dance pop,79
173,2K5nCggbhSZ00YCYP5qkZS,Shiva,1717566,italian hip hop,74
174,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,8435527,ambient pop,80
175,3hcs9uc56yIGFCSy9leWe7,Lil Durk,6372335,chicago drill,82
176,5C4PDR4LnhZTbVnKWXuDKD,Morat,9872522,colombian pop,81
177,487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,19223980,agronejo,79
178,4HF14RSTZQcEafvfPCFEpI,Cristiano Araújo,4769338,arrocha,61
179,5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,1849893,afrobeats,71
180,2oIQCM7hRZI9tS5b9S8rj4,Tyler ICU,504023,amapiano,58
181,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,4628783,canadian contemporary r&b,80
182,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,5016081,c-pop,72
183,1qQLhymHXFPtP5U8KNKsm6,Apache 207,2583407,german hip hop,73
184,2FXC3k01G6Gw61bmprjgqS,Hozier,6034246,irish singer-songwriter,81
185,2O8vbr4RYPpk6MRA4fio7u,Saiko,286309,urbano espanol,79
186,0ABk515kENDyATUdpCKVfW,Westside Gunn,460226,alternative hip hop,69
187,0AqlFI0tz2DsEoJlKSIiT9,Emilia,1760066,pop argentino,77
188,6L8y2rKomt32RmT4wfwZS7,Jungeli,7462,NA,62
189,6rs1KAoQnFalSqSU4LTh8g,back number,4150867,j-pop,70
190,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,6066630,canadian hip hop,80
191,4F4pp8NUW08JuXwnoxglpN,Bad Gyal,1164483,neoperreo,75
192,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,7342822,latin hip hop,78
193,6jJ0s89eD6GaHleKKya26X,Katy Perry,30024570,pop,83
194,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,6234323,contemporary country,79
195,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,20298058,bachata,81
196,2jSGzJw0ebJLu7OLVSOcBP,Plan B,3514670,reggaeton,78
197,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29184254,r&b,81
198,6dLuQ5qXxIuWc5urxfIiZR,Calle 24,512998,corrido,75
199,1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,234427,reggaeton,73
200,5tRk0bqMQubKAVowp35XtC,MC 張天賦,185163,cantopop,58
201,5np2XqLanbxQzpEVFG0big,Kman 6ixx,7110,NA,35
202,5E9Xn7QuCD3VYCuBqLxBdY,Baby Lullaby Academy,8596,lullaby,63
203,0TnOYISbd1XYRBk9myaseg,Pitbull,10361281,dance pop,81
204,12vb80Km0Ew53ABfJOepVz,Ñengo Flow,4990694,reggaeton,80
205,6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,4354988,desi hip hop,77
206,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,2762847,belgian edm,76
207,6IflU2YrY5Cyw7YoBICosV,Fally Ipupa,851040,azontobeats,59
208,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,1822944,australian dance,73
209,5AZuEF0feCXMkUCwQiQlW7,Marracash,2208564,italian hip hop,73
210,0jdNdfi4vAuVi7a6cPDFBM,Lazza,1798250,italian hip hop,74
211,1dKdetem2xEmjgvyymzytS,Grupo Firme,11136824,musica mexicana,81
212,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,6429333,melodic rap,81
213,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,7979918,latin viral pop,80
214,3q7HBObVc0L8jNeTe5Gofh,50 Cent,12727533,east coast hip hop,82
215,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,6178452,pop,78
216,4PzYKhC14sTJNEr0dzoo0d,Luísa Sonza,4903520,funk carioca,78
217,4axKuDPr6WKcDCyh8vueTY,Luar La L,425523,trap latino,72
218,2UwqpfQtNuhBwviIC0f2ie,Damso,4865572,belgian hip hop,73
219,0lAWpj5szCSwM4rUMHYmrr,Måneskin,7974245,indie rock italiano,79
